Product_ID,Product_Name,Category,Product_URL,Product_Color,Product_Type
99398237,metod/maximera-base cb f havsen snk/3 frnts/2 drws,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/422/0942226_PE796038_S4.webp,white,chest of drawers
99398162,metod/maximera-base cab f hob/2 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/425/0942551_PE796458_S4.webp,white, chest of drawers
99398138,metod/maximera-base cab f hob/2 fronts/3 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/422/0942214_PE796098_S4.webp,white, chest of drawers
99398124,metod/maximera-base cab f hob/2 fronts/3 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/422/0942206_PE796109_S4.webp,white, chest of drawers
99398082,metod/maximera-base cab f hob/2 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/426/0942668_PE796577_S4.webp,white, chest of drawers
99398058,metod/maximera-base cb f havsen snk/3 frnts/2 drws,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/240/0424001_PE579984_S4.webp,white,chest of drawers
99397978,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/426/0942673_PE796556_S4.webp,white,cabinet
99397959,metod/maximera-base cab f hob/2 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/582/0758241_PE749593_S4.webp,white, chest of drawers
99397657,metod/maximera-base cab f sink+3 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/688/0768868_PE754694_S4.webp,white, chest of drawers
99397582,metod/maximera-base cab f sink+3 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/585/0758511_PE749765_S4.webp,white, chest of drawers
99397520,metod/maximera-base cab f sink+3 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/420/0942013_PE795906_S4.webp,white, chest of drawers
99397431,metod/maximera-base cab f hob/4 fronts/3 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/418/0941855_PE795776_S4.webp,white, chest of drawers
99373147,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/904/0190480_PE342773_S4.webp,white,cabinet
99369206,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/166/0216642_PE371269_S4.webp,white,cabinet
99339083,metod/maximera-hi cab w shlvs/4 drawers/dr/2 frnts,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/058/0205893_PE358363_S4.webp,white, chest of drawers
99330365,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/109/0810968_PE771518_S4.webp,white,cabinet
99330332,metod/maximera-base cb 2 frnts/2 low/1 md/1 hi drw,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/109/0810945_PE771503_S4.webp,white,chest of drawers
99329828,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/948/0794898_PE765757_S4.webp,white,cabinet
99317222,metod/maximera-base cb 2 frnts/2 low/1 md/1 hi drw,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/688/0768842_PE754668_S4.webp,white,chest of drawers
99317217,metod/maximera-base cb 2 fronts/2 high drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/688/0768837_PE754663_S4.webp,white, chest of drawers
99310334,metod/maximera-base cab with 2 fronts/3 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/585/0758530_PE749764_S4.webp,white, chest of drawers
99309934,metod/maximera-base cb 4 frnts/2 low/3 md drwrs,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/584/0758498_PE749789_S4.webp,white,chest of drawers
99306488,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/585/0758510_PE749767_S4.webp,white,cabinet
89507717,door,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/733/1173352_PE894090_S4.webp,white,chest of drawers
89507703,metod/maximera-hi cab f ov w dr/2 frnts/2 hi drwrs,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/735/1173509_PE894292_S4.webp,white,chest of drawers
89507699,door,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/733/1173391_PE894158_S4.webp,white, chest of drawers
89507581,metod/maximera-bc w pull-out work surface/3drw,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/734/1173416_PE894169_S4.webp,white,
89507576,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/733/1173379_PE894124_S4.webp,white,cabinet
89507562,metod/maximera-base cab f hob/2 fronts/2 drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/734/1173413_PE894183_S4.webp,white, chest of drawers
89507519,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/734/1173457_PE894221_S4.webp,white,cabinet
89507487,metod/maximera-base cb 2 frnts/2 low/1 md/1 hi drw,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/736/1173616_PE893999_S4.webp,white,chest of drawers
89499393,cabinet,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/451/1145184_PE882598_S4.webp,white,cabinet
89499147,metod/maximera-hi cab f ov/combi ov w dr/2 drwrs,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/452/1145213_PE882514_S4.webp,white,chest of drawers
89499114,door,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/453/1145339_PE882466_S4.webp,white,basket
89498572,metod/maximera-base cb 2 fronts/2 high drawers,Kitchen,https://www.ikea.com.hk/dairyfarm/hk/images/453/1145334_PE882383_S4.webp,white, chest of drawers
